			88	73	22				Stan zbiornika 20			Stan zbiornika 21
Dzieñ	temperatura_srednia	opady	<=15C	>15C i <=0,6l/m2	>15C i > 0,6l/m2	Dop³yw z opadów	Podlewanie	parowanie	25000	Dolano?	Ile dolano	25000
01.04.2015	4	2	1	0	0	1400	0	0	25000	FA£SZ	0	25000
02.04.2015	2	6	1	0	0	4200	0	0	25000	FA£SZ	0	25000
03.04.2015	4	1	1	0	0	700	0	0	25000	FA£SZ	0	25000
04.04.2015	4	0,8	1	0	0	560	0	0	25000	FA£SZ	0	25000
05.04.2015	3	0	1	0	0	0	0	38,97114317	24961,02886	FA£SZ	0	24961,02886
06.04.2015	4	0	1	0	0	0	0	59,90646926	24901,12239	FA£SZ	0	24901,12239
07.04.2015	4	1	1	0	0	700	0	0	25000	FA£SZ	0	25000
08.04.2015	8	1	1	0	0	700	0	0	25000	FA£SZ	0	25000
09.04.2015	6	2	1	0	0	1400	0	0	25000	FA£SZ	0	25000
10.04.2015	9	2	1	0	0	1400	0	0	25000	FA£SZ	0	25000
11.04.2015	12	3	1	0	0	2100	0	0	25000	FA£SZ	0	25000
12.04.2015	10	2	1	0	0	1400	0	0	25000	FA£SZ	0	25000
13.04.2015	8	1	1	0	0	700	0	0	25000	FA£SZ	0	25000
14.04.2015	6	0	1	0	0	0	0	110,2270384	24889,77296	FA£SZ	0	24889,77296
15.04.2015	14	0	1	0	0	0	0	391,141812	24498,63115	FA£SZ	0	24498,63115
16.04.2015	10	0	1	0	0	0	0	232,414422	24266,21673	FA£SZ	0	24266,21673
17.04.2015	6	0	1	0	0	0	0	106,9917281	24159,225	FA£SZ	0	24159,225
18.04.2015	4	0	1	0	0	0	0	57,98214	24101,24286	FA£SZ	0	24101,24286
19.04.2015	7	0	1	0	0	0	0	133,9083793	23967,33448	FA£SZ	0	23967,33448
20.04.2015	10	1	1	0	0	700	0	0	24667,33448	FA£SZ	0	24667,33448
21.04.2015	11	3,2	1	0	0	2240	0	0	25000	FA£SZ	0	25000
22.04.2015	8	2,2	1	0	0	1540	0	0	25000	FA£SZ	0	25000
23.04.2015	11	1	1	0	0	700	0	0	25000	FA£SZ	0	25000
24.04.2015	12	1	1	0	0	700	0	0	25000	FA£SZ	0	25000
25.04.2015	14	1	1	0	0	700	0	0	25000	FA£SZ	0	25000
26.04.2015	16	0	0	1	0	0	12000	480	24520	FA£SZ	0	12520
27.04.2015	16	1	0	0	1	700	0	0	13220	FA£SZ	0	13220
28.04.2015	6	2	1	0	0	1400	0	0	14620	FA£SZ	0	14620
29.04.2015	7	0	1	0	0	0	0	81,22985675	14538,77014	FA£SZ	0	14538,77014
30.04.2015	10	0	1	0	0	0	0	137,9268841	14400,84326	FA£SZ	0	14400,84326
01.05.2015	10	4	1	0	0	2800	0	0	17200,84326	FA£SZ	0	17200,84326
02.05.2015	7	5	1	0	0	3500	0	0	20700,84326	FA£SZ	0	20700,84326
03.05.2015	9	4	1	0	0	2800	0	0	23500,84326	FA£SZ	0	23500,84326
04.05.2015	15	0,4	1	0	0	280	0	0	23780,84326	FA£SZ	0	23780,84326
05.05.2015	18	0,4	0	1	0	280	12000	0	24060,84326	FA£SZ	0	12060,84326
06.05.2015	16	0	0	1	0	0	12000	231,5681906	11829,27507	PRAWDA	13170,72493	13000
07.05.2015	14	0	1	0	0	0	0	204,2944933	12795,70551	FA£SZ	0	12795,70551
08.05.2015	10	0	1	0	0	0	0	121,390721	12674,31479	FA£SZ	0	12674,31479
09.05.2015	14	0,3	1	0	0	210	0	0	12884,31479	FA£SZ	0	12884,31479
10.05.2015	12	0,1	1	0	0	70	0	0	12954,31479	FA£SZ	0	12954,31479
11.05.2015	11	0	1	0	0	0	0	141,7831851	12812,5316	FA£SZ	0	12812,5316
12.05.2015	16	3	0	0	1	2100	0	0	14912,5316	FA£SZ	0	14912,5316
13.05.2015	12	0	1	0	0	0	0	185,9706893	14726,56091	FA£SZ	0	14726,56091
14.05.2015	10	0	1	0	0	0	0	139,7084237	14586,85249	FA£SZ	0	14586,85249
15.05.2015	12	0	1	0	0	0	0	181,9092213	14404,94327	FA£SZ	0	14404,94327
16.05.2015	10	1,8	1	0	0	1260	0	0	15664,94327	FA£SZ	0	15664,94327
17.05.2015	11	2,8	1	0	0	1960	0	0	17624,94327	FA£SZ	0	17624,94327
18.05.2015	12	1,9	1	0	0	1330	0	0	18954,94327	FA£SZ	0	18954,94327
19.05.2015	16	2,2	0	0	1	1540	0	0	20494,94327	FA£SZ	0	20494,94327
20.05.2015	13	2,3	1	0	0	1610	0	0	22104,94327	FA£SZ	0	22104,94327
21.05.2015	11	5,4	1	0	0	3780	0	0	25000	FA£SZ	0	25000
22.05.2015	12	5,5	1	0	0	3850	0	0	25000	FA£SZ	0	25000
23.05.2015	12	5,2	1	0	0	3640	0	0	25000	FA£SZ	0	25000
