Województwo	kobiey 2013	mê¿czyŸni 2013	kobiety 2014	mêŸczyŸni 2014		A	B	C	D
w01D	1415007	1397195	1499070	1481105		0	0	0	2812202
w02D	1711390	1641773	1522030	1618733		0	0	0	3353163
w03C	1165105	1278732	1299953	1191621		0	0	2443837	0
w04D	949065	1026050	688027	723233		0	0	0	1975115
w05A	2436107	2228622	1831600	1960624		4664729	0	0	0
w06D	1846928	1851433	2125113	2028635		0	0	0	3698361
w07B	3841577	3848394	3595975	3123039		0	7689971	0	0
w08A	679557	655500	1012012	1067022		1335057	0	0	0
w09C	1660998	1630345	1130119	1080238		0	0	3291343	0
w10C	1157622	1182345	830785	833779		0	0	2339967	0
w11D	1987047	1996208	2053892	1697247		0	0	0	3983255
w12C	3997724	3690756	4339393	4639643		0	0	7688480	0
w13A	996113	964279	1012487	1128940		1960392	0	0	0
w14A	1143634	1033836	909534	856349		2177470	0	0	0
w15A	2549276	2584751	2033079	2066918		5134027	0	0	0
w16C	1367212	1361389	1572320	1836258		0	0	2728601	0
w17A	2567464	2441857	1524132	1496810		5009321	0	0	0
w18D	1334060	1395231	578655	677663		0	0	0	2729291
w19C	2976209	3199665	1666477	1759240		0	0	6175874	0
w20C	1443351	1565539	1355276	1423414		0	0	3008890	0
w21A	2486640	2265936	297424	274759		4752576	0	0	0
w22B	685438	749124	2697677	2821550		0	1434562	0	0
w23B	2166753	2338698	1681433	1592443		0	4505451	0	0
w24C	643177	684187	796213	867904		0	0	1327364	0
w25B	450192	434755	1656446	1691000		0	884947	0	0
w26C	1037774	1113789	877464	990837		0	0	2151563	0
w27C	2351213	2358482	1098384	1121488		0	0	4709695	0
w28D	2613354	2837241	431144	434113		0	0	0	5450595
w29A	1859691	1844250	1460134	1585258		3703941	0	0	0
w30C	2478386	2562144	30035	29396		0	0	5040530	0
w31C	1938122	1816647	1602356	1875221		0	0	3754769	0
w32D	992523	1028501	1995446	1860524		0	0	0	2021024
w33B	2966291	2889963	462453	486354		0	5856254	0	0
w34C	76648	81385	1374708	1379567		0	0	158033	0
w35C	2574432	2409710	987486	999043		0	0	4984142	0
w36B	1778590	1874844	111191	117846		0	3653434	0	0
w37A	1506541	1414887	1216612	1166775		2921428	0	0	0
w38B	1598886	1687917	449788	427615		0	3286803	0	0
w39D	548989	514636	2770344	3187897		0	0	0	1063625
w40A	1175198	1095440	2657174	2491947		2270638	0	0	0
w41D	2115336	2202769	15339	14652		0	0	0	4318105
w42B	2346640	2197559	373470	353365		0	4544199	0	0
w43D	2548438	2577213	37986	37766		0	0	0	5125651
w44C	835495	837746	1106177	917781		0	0	1673241	0
w45B	1187448	1070426	1504608	1756990		0	2257874	0	0
w46C	140026	146354	2759991	2742120		0	0	286380	0
w47B	1198765	1304945	2786493	2602643		0	2503710	0	0
w48C	2619776	2749623	2888215	2800174		0	0	5369399	0
w49C	248398	268511	3110853	2986411		0	0	516909	0
w50B	2494207	2625207	1796293	1853602		0	5119414	0	0
									
					Suma:	33929579	41736619	57649017	36530387
